,31/03/24,31/03/23,31/03/22,31/03/21
Ordinary Shares Number,13532218028,13532188028,13531988028,13524137628
Share Issued,13532218028,13532188028,13531988028,13524137628
Net Debt,2.31082E+12,2.7981E+12,2.32796E+12,2.37305E+12
Total Debt,3.46142E+12,3.34392E+12,2.81974E+12,2.60125E+12
Tangible Book Value,4.33107E+12,3.85077E+12,5.47687E+12,5.55198E+12
Invested Capital,1.1181E+13,1.02984E+13,1.04579E+13,9.51983E+12
Working Capital,7.2733E+11,2.9553E+11,3.8357E+11,9.5443E+11
Net Tangible Assets,4.33107E+12,3.85077E+12,5.47687E+12,5.55198E+12
Capital Lease Obligations,2.152E+11,2.0426E+11,1.5669E+11,83140000000
Common Stock Equity,7.93481E+12,7.15872E+12,7.79485E+12,7.00172E+12
Total Capitalization,1.01619E+13,8.99048E+12,9.67184E+12,8.63855E+12
Total Equity Gross Minority Interest,9.25788E+12,8.28881E+12,8.88984E+12,7.99432E+12
Minority Interest,1.32307E+12,1.13009E+12,1.09499E+12,9.926E+11
Stockholders Equity,7.93481E+12,7.15872E+12,7.79485E+12,7.00172E+12
Other Equity Interest,7800000000,6460000000,4340000000,4.058E+11
Retained Earnings,3.39787E+12,2.95739E+12,2.47951E+12,1.96059E+12
Additional Paid In Capital,9.9846E+11,9.9836E+11,1.14846E+12,7.4558E+11
Capital Stock,67660000000,67660000000,67650000000,64450000000
Common Stock,67660000000,67660000000,67650000000,64450000000
Total Liabilities Net Minority Interest,8.30198E+12,7.7855E+12,6.10681E+12,5.2178E+12
Total Non Current Liabilities Net Minority Interest,4.32831E+12,3.82807E+12,3.02019E+12,2.44212E+12
Other Non Current Liabilities,1.12752E+12,1.13766E+12,3.7792E+11,1.9339E+11
Tradeand Other Payables Non Current,56670000000,77040000000,1.2024E+11,1.4616E+11
Non Current Deferred Taxes Liabilities,7.2241E+11,6.0324E+11,4.9644E+11,3.7001E+11
Long Term Debt And Capital Lease Obligation,2.40127E+12,1.99406E+12,2.00706E+12,1.70631E+12
Long Term Capital Lease Obligation,1.7415E+11,1.623E+11,1.3007E+11,69480000000
Long Term Debt,2.22712E+12,1.83176E+12,1.87699E+12,1.63683E+12
Long Term Provisions,20440000000,16070000000,18530000000,26250000000
Current Liabilities,3.97367E+12,3.95743E+12,3.08662E+12,2.77568E+12
Other Current Liabilities,30000000,20000000,2.1584E+11,3.3034E+11
Current Debt And Capital Lease Obligation,1.06015E+12,1.34986E+12,8.1268E+11,8.9494E+11
Current Capital Lease Obligation,41050000000,41960000000,26620000000,13660000000
Current Debt,1.0191E+12,1.3079E+12,7.8606E+11,8.8128E+11
Current Provisions,21750000000,21780000000,19360000000,25040000000
Payables,2.61308E+12,2.35309E+12,2.23284E+12,1.69545E+12
Other Payable,8.2759E+11,8.795E+11,6.3752E+11,6.044E+11
Dividends Payable,1720000000,1870000000,2020000000,2080000000
Accounts Payable,1.78377E+12,1.47172E+12,1.5933E+12,1.08897E+12
Total Assets,1.75599E+13,1.60743E+13,1.49967E+13,1.32121E+13
Total Non Current Assets,1.28589E+13,1.18214E+13,1.15265E+13,9.48201E+12
Other Non Current Assets,2.6784E+11,2.5783E+11,4.337E+11,3.5892E+11
Non Current Prepaid Assets,77640000000,83900000000,96260000000,88170000000
Non Current Deferred Taxes Assets,9380000000,15490000000,10430000000,11470000000
Investmentin Financial Assets,1.03561E+12,1.0546E+12,1.79594E+12,1.33066E+12
Available For Sale Securities,9.8024E+11,1.0025E+12,1.74682E+12,1.3152E+12
Financial Assets Designatedas Fair Value Through Profitor Loss Total,55370000000,52100000000,49120000000,15460000000
Long Term Equity Investment,1.8073E+11,1.3646E+11,1.08409E+12,8.0164E+11
Investmentsin Joint Venturesat Cost,1.0141E+11,62110000000,26330000000,23720000000
Investmentsin Associatesat Cost,79320000000,74350000000,1.05776E+12,7.7792E+11
Goodwill And Other Intangible Assets,3.60374E+12,3.30795E+12,2.31798E+12,1.44974E+12
Other Intangible Assets,3.45385E+12,3.15525E+12,2.18789E+12,1.34762E+12
Goodwill,1.4989E+11,1.527E+11,1.3009E+11,1.0212E+11
Net PPE,7.67493E+12,6.94987E+12,5.77218E+12,5.43024E+12
Accumulated Depreciation,-2.49993E+12,-2.24041E+12,-1.96483E+12,-1.66574E+12
Gross PPE,1.01749E+13,9.19028E+12,7.73701E+12,7.09598E+12
Construction In Progress,1.61409E+12,1.24484E+12,7.6764E+11,9.1958E+11
Other Properties,8.876E+11,7.0744E+11,5.1149E+11,3.3857E+11
Machinery Furniture Equipment,5.97968E+12,5.74356E+12,5.28372E+12,4.78234E+12
Buildings And Improvements,8.2062E+11,6.9747E+11,4.7561E+11,3.6781E+11
Land And Improvements,8.7287E+11,7.9697E+11,6.9855E+11,6.8768E+11
Properties,0,0,0,0
Current Assets,4.701E+12,4.25296E+12,3.47019E+12,3.73011E+12
Other Current Assets,1.4651E+11,1.2084E+11,1.5937E+11,1.4655E+11
Restricted Cash,36850000000,3.4508E+11,26690000000,28910000000
Prepaid Assets,5.3539E+11,4.8839E+11,4.3965E+11,4.0129E+11
Inventory,1.5277E+12,1.40008E+12,1.07778E+12,8.1672E+11
Other Inventories,1.021E+11,58910000000,26810000000,19700000000
Finished Goods,5.28E+11,5.4539E+11,4.127E+11,2.5121E+11
Work In Process,5.8936E+11,5.1282E+11,3.3985E+11,2.7781E+11
Raw Materials,3.0824E+11,2.8296E+11,2.9842E+11,2.68E+11
Other Receivables,25170000000,1760000000,1300000000,3.9908E+11
Accounts Receivable,3.1628E+11,2.8448E+11,2.364E+11,1.9014E+11
Cash Cash Equivalents And Short Term Investments,2.1131E+12,1.61233E+12,1.529E+12,1.74742E+12
Other Short Term Investments,1.1777E+12,1.27077E+12,1.19391E+12,1.60236E+12
Cash And Cash Equivalents,9.354E+11,3.4156E+11,3.3509E+11,1.4506E+11
Cash Equivalents,1.9528E+11,3.0184E+11,2.4689E+11,60390000000
Cash Financial,7.4012E+11,39720000000,88200000000,84670000000
