,31/03/24,31/03/23,31/03/22,31/03/21
Free Cash Flow,59050000000,-2.5956E+11,1.0509E+11,-7.8879E+11
Repayment Of Debt,-3.5055E+11,-2.9059E+11,-4.0647E+11,-8.724E+11
Issuance Of Debt,6.961E+11,3.5936E+11,5.9343E+11,3.3211E+11
Issuance Of Capital Stock,70000000,400000000,3.9767E+11,1.3215E+11
Capital Expenditure,-1.52883E+12,-1.40988E+12,-1.00145E+12,-1.05837E+12
End Cash Position,9.7225E+11,6.8664E+11,3.6178E+11,1.7397E+11
Other Cash Adjustment Outside Changein Cash,7200000000,-17660000000,9410000000,240000000
Beginning Cash Position,6.8664E+11,3.6178E+11,1.7397E+11,3.092E+11
Changes In Cash,2.7841E+11,3.4252E+11,1.784E+11,-1.3547E+11
Financing Cash Flow,-1.6646E+11,1.0455E+11,1.7289E+11,1.01904E+12
Net Other Financing Charges,1.983E+11,4790000000,4500000000,1.95682E+12
Interest Paid Cff,-3.7173E+11,-2.165E+11,-2.6349E+11,-1.834E+11
Cash Dividends Paid,-60890000000,-50830000000,-42970000000,-39210000000
Net Common Stock Issuance,70000000,400000000,3.9767E+11,1.3215E+11
Common Stock Issuance,70000000,400000000,3.9767E+11,1.3215E+11
Net Issuance Payments Of Debt,92620000000,3.8075E+11,98500000000,-8.371E+11
Net Short Term Debt Issuance,-2.5293E+11,3.1198E+11,-88460000000,-2.9681E+11
Net Long Term Debt Issuance,3.4555E+11,68770000000,1.8696E+11,-5.4029E+11
Long Term Debt Payments,-3.5055E+11,-2.9059E+11,-4.0647E+11,-8.724E+11
Long Term Debt Issuance,6.961E+11,3.5936E+11,5.9343E+11,3.3211E+11
Investing Cash Flow,-1.14301E+12,-9.1235E+11,-1.10103E+12,-1.42409E+12
Net Other Investing Changes,-44230000000,,-1.9306E+11,-20000000
Interest Received Cfi,1.0648E+11,1.1103E+11,59330000000,84000000000
Dividends Received Cfi,750000000,200000000,190000000,260000000
Net Investment Purchase And Sale,1.6975E+11,2.9444E+11,2590000000,-4.7315E+11
Sale Of Investment,5.31355E+12,5.01266E+12,6.68137E+12,6.42551E+12
Purchase Of Investment,-5.1438E+12,-4.71822E+12,-6.67878E+12,-6.89866E+12
Net PPE Purchase And Sale,1.5307E+11,91860000000,31370000000,-1.03518E+12
Sale Of PPE,1.5307E+11,91860000000,31370000000,23190000000
Purchase Of PPE,,,-1.00145E+12,-1.05837E+12
Capital Expenditure Reported,-1.52883E+12,-1.40988E+12,-1.00145E+12,
Operating Cash Flow,1.58788E+12,1.15032E+12,1.10654E+12,2.6958E+11
Taxes Refund Paid,-1.1961E+11,-62970000000,-37970000000,-32130000000
Change In Working Capital,63660000000,-1.9634E+11,7250000000,-4.9958E+11
Change In Payable,3.4796E+11,-6000000000,3.9888E+11,-4.3148E+11
Change In Inventory,-1.2756E+11,-3.2228E+11,-2.4983E+11,-77690000000
Change In Receivables,-1.5674E+11,1.3194E+11,-1.418E+11,9590000000
Other Non Cash Items,1.119E+11,79580000000,23360000000,1.0855E+11
Provisionand Write Offof Assets,,0,360000000,530000000
Deferred Tax,,,0,-1.557E+11
Depreciation And Amortization,5.0832E+11,4.0303E+11,2.9782E+11,2.6572E+11
Depreciation,5.0832E+11,4.0303E+11,2.9782E+11,2.6572E+11
Gain Loss On Investment Securities,-20100000000,11760000000,-13930000000,-99690000000
Net Foreign Currency Exchange Gain Loss,-1470000000,-31910000000,19500000000,-16450000000
Gain Loss On Sale Of PPE,1780000000,-600000000,400000000,470000000
Gain Loss On Sale Of Business,,0,-28720000000,-8500000000
Net Income From Continuing Operations,1.04727E+12,9.4801E+11,8.4142E+11,5.5461E+11
