Date,Dividends,Stock Splits
1997-10-27 00:00:00+05:30,0,2
1998-05-06 00:00:00+05:30,0.433392,0
1999-05-07 00:00:00+05:30,0.464348,0
2000-04-06 00:00:00+05:30,0.495305,0
2002-10-23 00:00:00+05:30,0.588175,0
2007-03-21 00:00:00+05:30,1.362089,0
2009-11-26 00:00:00+05:30,0,2
2011-05-05 00:00:00+05:30,1.98122,0
2013-05-10 00:00:00+05:30,2.228873,0
2014-05-16 00:00:00+05:30,2.352699,0
2015-05-08 00:00:00+05:30,2.476525,0
2017-07-13 00:00:00+05:30,2.724178,0
2017-09-07 00:00:00+05:30,0,2
2018-06-27 00:00:00+05:30,2.97183,0
2020-07-02 00:00:00+05:30,3.25,0
2021-06-11 00:00:00+05:30,3.5,0
2022-08-18 00:00:00+05:30,4,0
2024-10-28 00:00:00+05:30,0,2
