,2024-09-30,2024-03-31,2023-09-30
Ordinary Shares Number,13532458028.0,13532218028.0,13532188028.0
Share Issued,13532458028.0,13532218028.0,13532188028.0
Net Debt,2459840000000.0,2310820000000.0,2268600000000.0
Total Debt,3575250000000.0,3461420000000.0,3166970000000.0
Tangible Book Value,4529520000000.0,4331070000000.0,4022020000000.0
Invested Capital,11557900000000.0,11181030000000.0,10469090000000.0
Working Capital,356520000000.0,727330000000.0,622310000000.0
Net Tangible Assets,4529520000000.0,4331070000000.0,4022020000000.0
Capital Lease Obligations,211880000000.0,215200000000.0,210100000000.0
Common Stock Equity,8194530000000.0,7934810000000.0,7512220000000.0
Total Capitalization,10233810000000.0,10161930000000.0,9752400000000.0
Total Equity Gross Minority Interest,9543240000000.0,9257880000000.0,8772750000000.0
Minority Interest,1348710000000.0,1323070000000.0,1260530000000.0
Stockholders Equity,8194530000000.0,7934810000000.0,7512220000000.0
Other Equity Interest,8126870000000.0,7800000000.0,7444560000000.0
Retained Earnings,,3397870000000.0,
Additional Paid In Capital,,998460000000.0,
Capital Stock,67660000000.0,67660000000.0,67660000000.0
Common Stock,67660000000.0,67660000000.0,67660000000.0
Total Liabilities Net Minority Interest,8607990000000.0,8301980000000.0,8049400000000.0
Total Non Current Liabilities Net Minority Interest,4180390000000.0,4328310000000.0,4274270000000.0
Other Non Current Liabilities,1100330000000.0,1127520000000.0,1117670000000.0
Tradeand Other Payables Non Current,,56670000000.0,
Non Current Deferred Taxes Liabilities,773870000000.0,722410000000.0,655260000000.0
Long Term Debt And Capital Lease Obligation,2209060000000.0,2401270000000.0,2407910000000.0
Long Term Capital Lease Obligation,169780000000.0,174150000000.0,167730000000.0
Long Term Debt,2039280000000.0,2227120000000.0,2240180000000.0
Long Term Provisions,20630000000.0,20440000000.0,21010000000.0
Current Liabilities,4427600000000.0,3973670000000.0,3775130000000.0
Other Current Liabilities,632100000000.0,30000000.0,552400000000.0
Current Debt And Capital Lease Obligation,1366190000000.0,1060150000000.0,759060000000.0
Current Capital Lease Obligation,42100000000.0,41050000000.0,42370000000.0
Current Debt,1324090000000.0,1019100000000.0,716690000000.0
Current Provisions,33250000000.0,21750000000.0,44000000000.0
Payables,1755760000000.0,2613080000000.0,1581010000000.0
Other Payable,,827590000000.0,
Dividends Payable,,1720000000.0,
Accounts Payable,1755760000000.0,1783770000000.0,1581010000000.0
Total Assets,18151230000000.0,17559860000000.0,16822150000000.0
Total Non Current Assets,13367110000000.0,12858860000000.0,12424710000000.0
Other Non Current Assets,448710000000.0,267840000000.0,412540000000.0
Non Current Prepaid Assets,,77640000000.0,
Non Current Deferred Taxes Assets,6540000000.0,9380000000.0,9400000000.0
Investmentin Financial Assets,1228160000000.0,1035610000000.0,1131190000000.0
Available For Sale Securities,1228160000000.0,980240000000.0,1131190000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,55370000000.0,
Long Term Equity Investment,,180730000000.0,
Investmentsin Joint Venturesat Cost,,101410000000.0,
Investmentsin Associatesat Cost,,79320000000.0,
Goodwill And Other Intangible Assets,3665010000000.0,3603740000000.0,3490200000000.0
Other Intangible Assets,3517380000000.0,3453850000000.0,3341160000000.0
Goodwill,147630000000.0,149890000000.0,149040000000.0
Net PPE,8011190000000.0,7674930000000.0,7365860000000.0
Accumulated Depreciation,,-2499930000000.0,
Gross PPE,8011190000000.0,10174860000000.0,7365860000000.0
Construction In Progress,1988730000000.0,1614090000000.0,1613440000000.0
Other Properties,6022460000000.0,887600000000.0,5752420000000.0
Machinery Furniture Equipment,,5979680000000.0,
Buildings And Improvements,,820620000000.0,
Land And Improvements,,872870000000.0,
Properties,,0.0,
Current Assets,4784120000000.0,4701000000000.0,4397440000000.0
Other Current Assets,500020000000.0,146510000000.0,526120000000.0
Restricted Cash,,36850000000.0,
Prepaid Assets,,535390000000.0,
Inventory,1609500000000.0,1527700000000.0,1462580000000.0
Other Inventories,,102100000000.0,
Finished Goods,,528000000000.0,
Work In Process,,589360000000.0,
Raw Materials,,308240000000.0,
Other Receivables,46410000000.0,25170000000.0,22580000000.0
Accounts Receivable,301210000000.0,316280000000.0,369360000000.0
Cash Cash Equivalents And Short Term Investments,2326980000000.0,2113100000000.0,2016800000000.0
Other Short Term Investments,1423450000000.0,1177700000000.0,1328530000000.0
Cash And Cash Equivalents,903530000000.0,935400000000.0,688270000000.0
Cash Equivalents,,195280000000.0,
Cash Financial,,740120000000.0,
