,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.238767,0.237089,0.249032,0.236413,0.245616,
Normalized EBITDA,348220000000.0,310540000000.0,291520000000.0,322350000000.0,316220000000.0,
Net Income From Continuing Operation Net Minority Interest,185400000000.0,165630000000.0,151380000000.0,189510000000.0,172650000000.0,
Reconciled Cost Of Revenue,1661400000000.0,1657820000000.0,1670540000000.0,2054570000000.0,1604050000000.0,
EBITDA,348220000000.0,310540000000.0,291520000000.0,322350000000.0,316220000000.0,
EBIT,348220000000.0,310540000000.0,291520000000.0,322350000000.0,316220000000.0,
Net Interest Income,-61790000000.0,-60170000000.0,-59180000000.0,61670000000.0,-57890000000.0,
Interest Expense,61790000000.0,60170000000.0,59180000000.0,44150000000.0,57890000000.0,
Normalized Income,185400000000.0,165630000000.0,151380000000.0,189510000000.0,172650000000.0,
Net Income From Continuing And Discontinued Operation,185400000000.0,165630000000.0,151380000000.0,189510000000.0,172650000000.0,
Total Expenses,2093780000000.0,2053570000000.0,2066150000000.0,2073210000000.0,1973330000000.0,
Diluted Average Shares,13532846715.0,13531862745.0,13534197586.0,,13530564263.0,13530921820.0
Basic Average Shares,13532846715.0,13531862745.0,13534197586.0,,13530564263.0,13530921820.0
Diluted EPS,13.7,12.24,11.185,,12.76,12.855
Basic EPS,13.7,12.24,11.185,,12.76,12.855
Diluted NI Availto Com Stockholders,185400000000.0,165630000000.0,151380000000.0,189510000000.0,172650000000.0,
Net Income Common Stockholders,185400000000.0,165630000000.0,151380000000.0,189510000000.0,172650000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,185400000000.0,165630000000.0,151380000000.0,189510000000.0,172650000000.0,
Minority Interests,-33900000000.0,-27600000000.0,-23070000000.0,-22920000000.0,-23760000000.0,
Net Income Including Noncontrolling Interests,219300000000.0,193230000000.0,174450000000.0,212430000000.0,196410000000.0,
Net Income Discontinuous Operations,,,,0.0,0.0,0.0
Net Income Continuous Operations,219300000000.0,193230000000.0,174450000000.0,212430000000.0,196410000000.0,
Tax Provision,68390000000.0,59360000000.0,57860000000.0,65770000000.0,63450000000.0,
Pretax Income,286430000000.0,250370000000.0,232340000000.0,278200000000.0,258330000000.0,
Other Non Operating Income Expenses,42140000000.0,48760000000.0,39830000000.0,-82210000000.0,38690000000.0,
Net Non Operating Interest Income Expense,-61790000000.0,-60170000000.0,-59180000000.0,61670000000.0,-57890000000.0,
Interest Expense Non Operating,61790000000.0,60170000000.0,59180000000.0,44150000000.0,57890000000.0,
Operating Income,306080000000.0,261780000000.0,251690000000.0,292120000000.0,277530000000.0,
Operating Expense,432380000000.0,395750000000.0,395610000000.0,18640000000.0,369280000000.0,
Other Operating Expenses,360830000000.0,329260000000.0,324900000000.0,-410290000000.0,306150000000.0,
Gross Profit,738460000000.0,657530000000.0,647300000000.0,310760000000.0,646810000000.0,
Cost Of Revenue,1661400000000.0,1657820000000.0,1670540000000.0,2054570000000.0,1604050000000.0,
Total Revenue,2399860000000.0,2315350000000.0,2317840000000.0,2365330000000.0,2250860000000.0,
Operating Revenue,2399860000000.0,2315350000000.0,2317840000000.0,2365330000000.0,2250860000000.0,
